#locus_tag	gene_name
PECH_000978	PECH_000978
PECH_000979	PECH_000979
PECH_000980	PECH_000980
PECH_000981	PECH_000981
PECH_000982	PECH_000982
PECH_000983	PECH_000983
PECH_000984	PECH_000984
PECH_000985	PECH_000985
PECH_000986	PECH_000986
PECH_000987	PECH_000987
PECH_000988	PECH_000988
PECH_000989	PECH_000989
PECH_000990	PECH_000990
PECH_000991	PECH_000991
PECH_000992	PECH_000992
PECH_000993	PECH_000993
PECH_000994	PECH_000994
PECH_000995	PECH_000995
PECH_000996	PECH_000996
PECH_000997	PECH_000997
PECH_000998	PECH_000998
PECH_000999	PECH_000999
PECH_001000	PECH_001000
PECH_001002	PECH_001002
PECH_001003	PECH_001003
PECH_001004	PECH_001004
PECH_001005	PECH_001005
PECH_001006	PECH_001006
PECH_001010	PECH_001010
PECH_001012	PECH_001012
PECH_001013	PECH_001013
PECH_001014	PECH_001014
PECH_001015	PECH_001015
PECH_001017	PECH_001017
PECH_001018	PECH_001018
PECH_001019	PECH_001019
PECH_001020	PECH_001020
PECH_001021	PECH_001021
PECH_001022	PECH_001022
PECH_001023	PECH_001023
PECH_001024	PECH_001024
PECH_001025	PECH_001025
PECH_001026	PECH_001026
PECH_001027	PECH_001027
PECH_001028	PECH_001028
PECH_001029	PECH_001029
PECH_001030	PECH_001030
PECH_001031	PECH_001031
PECH_001032	PECH_001032
PECH_001033	PECH_001033
PECH_001034	PECH_001034
PECH_001035	PECH_001035
PECH_001036	PECH_001036
PECH_001037	PECH_001037
PECH_001039	PECH_001039
PECH_001040	PECH_001040
PECH_001041	PECH_001041
PECH_001042	PECH_001042
PECH_001043	PECH_001043
PECH_001045	PECH_001045
PECH_001046	PECH_001046
PECH_001047	PECH_001047
PECH_001048	PECH_001048
PECH_001049	PECH_001049
PECH_001050	PECH_001050
PECH_001051	PECH_001051
PECH_001052	PECH_001052
PECH_001053	PECH_001053
PECH_001054	PECH_001054
PECH_001055	PECH_001055
PECH_001056	PECH_001056
PECH_001057	PECH_001057
PECH_001058	PECH_001058
PECH_001059	PECH_001059
PECH_001060	PECH_001060
PECH_001061	PECH_001061
PECH_001062	PECH_001062
PECH_001063	PECH_001063
PECH_001064	PECH_001064
PECH_001065	PECH_001065
PECH_001066	PECH_001066
PECH_001067	PECH_001067
PECH_001069	PECH_001069
PECH_001070	PECH_001070
PECH_001071	PECH_001071
PECH_001072	PECH_001072
PECH_001073	PECH_001073
