#tf_id	tg_id	regulatory_function
YAL051W	YHR135C	NaN
YAL051W	YCL042W	NaN
YAL051W	YCR013C	NaN
YAL051W	YDL012C	NaN
YAL051W	YDL038C	NaN
YAL051W	YDL242W	NaN
YAL051W	YDR034W-B	NaN
YAL051W	YDR209C	NaN
YAL051W	YDR344C	NaN
YAL051W	YKL065C	NaN
YAL051W	YDL120W	NaN
YAL051W	YFR006W	NaN
YAL051W	YNL160W	NaN
YAL051W	YGR022C	NaN
YAL051W	YGR035C	NaN
YAL051W	YGR079W	NaN
YAL051W	YGR117C	NaN
YAL051W	YGR137W	NaN
YAL051W	YGR151C	NaN
YAL051W	YGR164W	NaN
YAL051W	YGR201C	NaN
YAL051W	YGR219W	NaN
YAL051W	YGR272C	NaN
YAL051W	YGR290W	NaN
YAL051W	YHR140W	NaN
YAL051W	YIR044C	NaN
YAL051W	YJL045W	NaN
YAL051W	YJL218W	NaN
YAL051W	YJR071W	NaN
YAL051W	YKL094W	NaN
YAL051W	YKL053W	NaN
YAL051W	YKL169C	NaN
YAL051W	YHL014C	NaN
YAL051W	YLL037W	NaN
YAL051W	YLR101C	NaN
YAL051W	YLR149C	NaN
YAL051W	YLR162W	NaN
YAL051W	YLR225C	NaN
YAL051W	YLR269C	NaN
YAL051W	YLR294C	NaN
YAL051W	YML119W	NaN
YAL051W	YML131W	NaN
YAL051W	YMR027W	NaN
YAL051W	YMR099C	NaN
YAL051W	YMR102C	NaN
YAL051W	YMR226C	NaN
YAL051W	YMR294W-A	NaN
YAL051W	YMR295C	NaN
YAL051W	YMR321C	NaN
YAL051W	YKL067W	NaN
YAL051W	YNL109W	NaN
YAL051W	YNL194C	NaN
YAL051W	YNL195C	NaN
YAL051W	YNL205C	NaN
YAL051W	YNL266W	NaN
YAL051W	YNR029C	NaN
YAL051W	YOR015W	NaN
YAL051W	YOR050C	NaN
YAL051W	YOR105W	NaN
YAL051W	YOR186W	NaN
YAL051W	YOR268C	NaN
YAL051W	YOR302W	NaN
YAL051W	YOR342C	NaN
YAL051W	YOR291W	NaN
YAL051W	YPL034W	NaN
YAL051W	YPL182C	NaN
YAL051W	YPR038W	NaN
YAL051W	YBR264C	NaN
YAL051W	YLR262C	NaN
YAL051W	YKL214C	NaN
YAL051W	YBR054W	NaN
YAL051W	YML109W	NaN
YAL051W	YNL310C	NaN
YBL005W	YMR056C	NaN
YBL005W	YBR085W	NaN
YBL005W	YJR155W	NaN
YBL005W	YNL331C	NaN
YBL005W	YOL165C	NaN
YBL005W	YPL088W	NaN
YBL005W	YCR107W	NaN
YBL005W	YFL056C	NaN
YBL005W	YNL141W	NaN
YBL005W	YHR047C	NaN
YBL005W	YBL074C	NaN
YBL005W	YKL106W	NaN
YBL005W	YLR027C	NaN
YBL005W	YBR236C	NaN
YBL005W	YKL112W	NaN
YBL005W	YMR072W	NaN
YBL005W	YJR108W	NaN
YBL005W	YCR088W	NaN
YBL005W	YOR239W	NaN
YBL005W	YNR033W	NaN
YBL005W	YER045C	NaN
YBL005W	YGR037C	NaN
YBL005W	YNR016C	NaN
YBL005W	YLR131C	NaN
YBL005W	YLR144C	NaN
YBL005W	YJR083C	NaN
YBL005W	YBL015W	NaN
YBL005W	YDR161W	NaN
YBL005W	YPL267W	NaN
YBL005W	YLR304C	NaN
YBL005W	YKL192C	NaN
YBL005W	YAL054C	NaN
